Site,X1,X2,X3,Species
1,0,0,0,bobcat
2,0,0,0,bobcat
3,0,0,0,bobcat
4,0,0,0,bobcat
5,0,0,0,bobcat
6,0,0,0,bobcat
7,0,0,0,bobcat
8,0,0,0,bobcat
9,0,0,0,bobcat
10,0,0,0,bobcat
11,0,0,0,bobcat
12,0,0,0,bobcat
13,0,0,0,bobcat
14,0,0,0,bobcat
15,0,0,0,bobcat
16,0,0,0,bobcat
17,0,0,0,bobcat
18,0,0,0,bobcat
19,0,0,0,bobcat
20,0,0,0,bobcat
21,0,0,0,bobcat
22,0,0,0,bobcat
23,0,0,0,bobcat
24,0,0,0,bobcat
25,0,0,0,bobcat
26,0,0,0,bobcat
27,0,0,0,bobcat
28,0,0,0,bobcat
29,0,0,0,bobcat
30,0,0,0,bobcat
31,0,0,0,bobcat
32,0,0,0,bobcat
33,0,0,0,bobcat
34,0,0,0,bobcat
35,0,0,0,bobcat
36,0,0,0,bobcat
37,0,0,0,bobcat
38,0,0,0,bobcat
39,0,1,0,bobcat
40,1,0,0,bobcat
41,0,0,0,bobcat
42,0,0,1,bobcat
43,0,0,0,bobcat
44,0,0,1,bobcat
45,0,0,0,bobcat
46,0,0,0,bobcat
47,0,0,0,bobcat
48,0,0,0,bobcat
49,0,0,0,bobcat
50,0,0,0,bobcat
51,0,0,0,bobcat
52,0,0,0,bobcat
53,1,1,0,bobcat
54,0,1,0,bobcat
55,0,0,0,bobcat
56,0,0,0,bobcat
57,0,0,0,bobcat
58,0,0,0,bobcat
59,1,0,0,bobcat
60,0,0,0,bobcat
61,0,0,1,bobcat
62,0,0,0,bobcat
63,0,0,0,bobcat
64,0,0,0,bobcat
65,0,0,0,bobcat
66,1,0,0,bobcat
67,0,0,0,bobcat
68,0,0,0,bobcat
69,0,0,0,bobcat
70,1,1,0,bobcat
71,0,0,0,bobcat
72,1,0,0,bobcat
73,0,0,0,bobcat
74,1,0,0,bobcat
75,0,0,0,bobcat
76,0,0,0,bobcat
77,0,0,0,bobcat
