species,site,a,b,c,d,e,f,g,h,i,j,k,l
Cbra,OCCAJ01,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ02,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ03,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ04,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cbra,OCCAJ06,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ07,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ08,0,0,0,0,0,0,0,1,0,0,NA,NA
Cbra,OCCAJ09,0,0,0,0,0,0,1,0,0,0,NA,NA
Cbra,OCCAJ10,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ11,NA,0,0,1,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ12,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA
Cbra,OCCAJ13,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ16,NA,1,0,0,0,0,1,0,0,0,NA,NA
Cbra,OCCAJ17,NA,0,0,0,0,0,0,0,0,0,0,NA
Cbra,OCCAJ18,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ19,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ21,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ22,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ23,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Cbra,OCCAJ24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cbra,OCCAJ25,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Cbra,OCCAJ26,0,0,1,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ27,1,0,0,0,NA,0,0,NA,NA,NA,NA,NA
Cbra,OCCAJ28,0,0,0,0,0,0,0,0,0,NA,NA,NA
Cbra,OCCAJ29,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA
Cbra,OCCAJ30,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ31,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA
Cbra,OCCAJ32,NA,0,0,1,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ33,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
Cbra,OCCAJ35,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ36,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
Cbra,OCCAJ37,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
Cbra,OCCAJ38,NA,0,0,0,0,0,0,0,NA,NA,NA,NA
Cbra,OCCAJ39,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ41,NA,0,0,0,0,0,0,0,1,0,NA,NA
Cbra,OCCAJ42,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCAJ43,NA,0,0,0,0,0,0,0,0,1,NA,NA
Cbra,OCCL01,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL02,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Cbra,OCCL03,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL04,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL05,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL06,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL07,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL08,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA
Cbra,OCCL09,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL10,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL11,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL12,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL13,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL14,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL15,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL16,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL17,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
Cbra,OCCL18,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL19,0,0,0,0,0,0,0,0,0,NA,NA,NA
Cbra,OCCL20,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL21,NA,0,0,1,0,0,0,0,0,0,NA,NA
Cbra,OCCL22,NA,0,0,1,0,0,0,0,0,0,NA,NA
Cbra,OCCL23,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL24,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL25,NA,0,0,1,0,0,0,0,0,0,0,NA
Cbra,OCCL26,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA
Cbra,OCCL27,NA,0,0,0,0,0,0,0,NA,NA,NA,NA
Cbra,OCCL28,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL29,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL30,NA,0,0,0,0,0,0,0,0,0,0,NA
Cbra,OCCL31,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL32,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL33,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Cbra,OCCL34,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL35,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Cbra,OCCL36,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL37,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL38,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL39,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL40,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Cbra,OCCL41,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Cbra,OCCL42,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cbra,OCCL43,0,0,0,0,0,0,0,0,0,0,0,NA
Cbra,OCCL44,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL45,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL46,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Cbra,OCCL47,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
Cbra,OCCL48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cbra,OCCL49,0,0,0,1,0,0,0,0,0,0,NA,NA
Cbra,OCCL50,0,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL51,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL52,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL53,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL54,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL55,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL56,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL57,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL58,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Cbra,OCCL59,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL60,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL61,NA,0,0,0,0,0,0,0,0,0,NA,NA
Cbra,OCCL62,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Cbra,OCCL64,NA,0,0,0,0,0,0,0,0,0,0,NA
Cbra,OCCL65,NA,0,0,0,0,0,0,1,0,0,0,NA
Cbra,OCCL66,NA,0,0,0,0,0,0,0,0,NA,NA,NA
Cbra,OCCL67,NA,0,1,0,1,0,1,0,0,1,1,NA
Cbra,OCCL68,NA,0,0,0,0,0,0,1,0,0,0,NA
Cbra,OCCL69,NA,0,0,0,0,0,0,1,0,0,0,NA
