PointYrID,Point,Year,MaxOfVisit,latitude,longitude,CWHR1,elevation,aspect,slope,SRI,southness,ShrubCov,TreeCov,BA,g30SNAGS,totSNAGS,MaxDBH,DisturbanceYear,TRT,Landscape,Clearcut,ndwi,tmn,tmx,dndwi,dtmn,dtmx,cwd
EL04A.C.2010,EL04A.C,2010,1,38.68043076,-120.0440966,RFR,2489,59.01,31.8,0.5026,0.3278,15,19,5.3,16,22,110,NA,Undisturbed,Unmodified,0,0.046,-4.99621,15.31,0.002,3.10208,0.88,257.1
EL04A.C.2011,EL04A.C,2011,2,38.68043076,-120.0440966,RFR,2489,59.01,31.8,0.5026,0.3278,15,19,5.3,16,22,110,NA,Undisturbed,Unmodified,0,0.662,-5.49505,14.17,0.618,2.60324,-0.26,89.9
EL04A.C.2012,EL04A.C,2012,2,38.68043076,-120.0440966,RFR,2489,59.01,31.8,0.5026,0.3278,15,19,5.3,16,22,110,NA,Undisturbed,Unmodified,0,0.072,-3.93161,17.13,0.028,4.16668,2.7,394.71
EL04A.C.2013,EL04A.C,2013,2,38.68043076,-120.0440966,RFR,2489,59.01,31.8,0.5026,0.3278,15,19,5.3,16,22,110,NA,Undisturbed,Unmodified,0,0.088,-7.48833,18.49,0.044,0.60997,4.06,343.88
EL04A.C.2014,EL04A.C,2014,1,38.68043076,-120.0440966,RFR,2489,59.01,31.8,0.5026,0.3278,15,19,5.3,16,22,110,NA,Undisturbed,Unmodified,0,0.101,-2.41517,18.25,0.057,5.68312,3.82,385.61
EL04A.C.2015,EL04A.C,2015,2,38.68043076,-120.0440966,RFR,2489,59.01,31.8,0.5026,0.3278,15,19,5.3,16,22,110,NA,Undisturbed,Unmodified,0,0.077,-2.59488,19.5,0.033,5.50341,5.07,398.99
EL04A.C.2016,EL04A.C,2016,1,38.68043076,-120.0440966,RFR,2489,59.01,31.8,0.5026,0.3278,13.5,13.5,9.7,10.5,13.5,124.5,NA,Undisturbed,Unmodified,0,0.093,-5.99972,18.83,0.049,2.09857,4.4,278.8
EL04A.C.2017,EL04A.C,2017,1,38.68043076,-120.0440966,RFR,2489,59.01,31.8,0.5026,0.3278,12,8,14,5,5,139,NA,Undisturbed,Unmodified,0,0.252,-7.37589,17.41971,0.208,0.7224,2.98971,551.2
EL04A.C.2019,EL04A.C,2019,2,38.68043076,-120.0440966,RFR,2489,59.01,31.8,0.5026,0.3278,12,8,14,5,5,139,NA,Undisturbed,Unmodified,0,0.3,-4.79972,17.01221,0.256,3.29857,2.58221,599.33
EL04A.E.2010,EL04A.E,2010,1,38.68043177,-120.0412197,LPN,2435,59.02,20.89,-0.2735,0.3279,30,40,6,20,40,90,NA,Undisturbed,Unmodified,0,-0.006,-4.84666,15.81,0.018,2.96296,0.98,258.1
EL04A.E.2011,EL04A.E,2011,2,38.68043177,-120.0412197,LPN,2435,59.02,20.89,-0.2735,0.3279,30,40,6,20,40,90,NA,Undisturbed,Unmodified,0,0.537,-5.29402,14.66,0.561,2.5156,-0.17,91.5
EL04A.E.2012,EL04A.E,2012,2,38.68043177,-120.0412197,LPN,2435,59.02,20.89,-0.2735,0.3279,30,40,6,20,40,90,NA,Undisturbed,Unmodified,0,-0.063,-3.72667,17.64,-0.039,4.08295,2.81,397.18
EL04A.E.2013,EL04A.E,2013,2,38.68043177,-120.0412197,LPN,2435,59.02,20.89,-0.2735,0.3279,30,40,6,20,40,90,NA,Undisturbed,Unmodified,0,0.001,-7.27922,19.02,0.025,0.5304,4.19,392.55
EL04A.E.2014,EL04A.E,2014,1,38.68043177,-120.0412197,LPN,2435,59.02,20.89,-0.2735,0.3279,30,40,6,20,40,90,NA,Undisturbed,Unmodified,0,0.009,-2.17179,18.78,0.033,5.63783,3.95,394.16
EL04A.E.2015,EL04A.E,2015,2,38.68043177,-120.0412197,LPN,2435,59.02,20.89,-0.2735,0.3279,30,40,6,20,40,90,NA,Undisturbed,Unmodified,0,-0.013,-2.34605,20.1,0.011,5.46357,5.27,447.42
EL04A.E.2016,EL04A.E,2016,1,38.68043177,-120.0412197,LPN,2435,59.02,20.89,-0.2735,0.3279,16.5,24,8.8,15.5,27.5,87.5,NA,Undisturbed,Unmodified,0,0.002,-5.69013,19.42,0.026,2.11949,4.59,280.86
EL04A.E.2017,EL04A.E,2017,1,38.68043177,-120.0412197,BAR,2435,59.02,20.89,-0.2735,0.3279,3,8,11.6,11,15,85,NA,Undisturbed,Unmodified,0,0.066,-7.13234,17.7239,0.09,0.67729,2.89391,549.85
EL04A.E.2019,EL04A.E,2019,2,38.68043177,-120.0412197,BAR,2435,59.02,20.89,-0.2735,0.3279,3,8,11.6,11,15,85,NA,Undisturbed,Unmodified,0,0.049,-4.4877,17.47075,0.073,3.32193,2.64075,600.76
EL04A.N.2010,EL04A.N,2010,0,38.68267985,-120.0440979,LPN,2457,59.43,23.35,-0.4232,0.3302,15,55,9.7,13,25,90,NA,Undisturbed,Unmodified,0,0.092,-4.89998,15.5,0,3.02993,0.86,256.9
EL04A.N.2011,EL04A.N,2011,2,38.68267985,-120.0440979,LPN,2457,59.43,23.35,-0.4232,0.3302,15,55,9.7,13,25,90,NA,Undisturbed,Unmodified,0,0.456,-5.39121,14.37,0.364,2.53871,-0.27,90.3
EL04A.N.2012,EL04A.N,2012,2,38.68267985,-120.0440979,LPN,2457,59.43,23.35,-0.4232,0.3302,15,55,9.7,13,25,90,NA,Undisturbed,Unmodified,0,0.061,-3.83674,17.34,-0.031,4.09317,2.7,395.04
EL04A.N.2013,EL04A.N,2013,2,38.68267985,-120.0440979,LPN,2457,59.43,23.35,-0.4232,0.3302,15,55,9.7,13,25,90,NA,Undisturbed,Unmodified,0,0.128,-7.38451,18.71,0.036,0.5454,4.07,389.73
EL04A.N.2014,EL04A.N,2014,1,38.68267985,-120.0440979,LPN,2457,59.43,23.35,-0.4232,0.3302,15,55,9.7,13,25,90,NA,Undisturbed,Unmodified,0,0.118,-2.2937,18.47,0.026,5.63622,3.83,388.91
EL04A.N.2015,EL04A.N,2015,2,38.68267985,-120.0440979,LPN,2457,59.43,23.35,-0.4232,0.3302,15,55,9.7,13,25,90,NA,Undisturbed,Unmodified,0,0.104,-2.48566,19.76,0.012,5.44426,5.12,431.04
EL04A.N.2016,EL04A.N,2016,1,38.68267985,-120.0440979,LPN,2457,59.43,23.35,-0.4232,0.3302,10,35,13.8,9,15.5,91,NA,Undisturbed,Unmodified,0,0.104,-5.86564,19.08,0.012,2.06427,4.44,279.24
EL04A.N.2017,EL04A.N,2017,1,38.68267985,-120.0440979,LPN,2457,59.43,23.35,-0.4232,0.3302,5,15,18,5,6,92,NA,Undisturbed,Unmodified,0,0.252,-7.26264,17.57189,0.16,0.66728,2.9319,549.63
EL04A.N.2019,EL04A.N,2019,2,38.68267985,-120.0440979,LPN,2457,59.43,23.35,-0.4232,0.3302,5,15,18,5,6,92,NA,Undisturbed,Unmodified,0,0.207,-4.66564,17.20877,0.115,3.26427,2.56877,598.64
EL04A.S.2010,EL04A.S,2010,1,38.67818166,-120.0440952,LPN,2519,70.73,28,-0.7121,0.393,20,40,6.3,20,30,110,NA,Undisturbed,Unmodified,0,0.023,-5.04176,15.31,-0.011,3.12959,0.88,255.7
EL04A.S.2011,EL04A.S,2011,2,38.67818166,-120.0440952,LPN,2519,70.73,28,-0.7121,0.393,20,40,6.3,20,30,110,NA,Undisturbed,Unmodified,0,0.627,-5.50719,14.18,0.593,2.66416,-0.25,88.7
EL04A.S.2012,EL04A.S,2012,2,38.67818166,-120.0440952,LPN,2519,70.73,28,-0.7121,0.393,20,40,6.3,20,30,110,NA,Undisturbed,Unmodified,0,0.009,-3.94058,17.14,-0.025,4.23077,2.71,392.67
EL04A.S.2013,EL04A.S,2013,2,38.67818166,-120.0440952,LPN,2519,70.73,28,-0.7121,0.393,20,40,6.3,20,30,110,NA,Undisturbed,Unmodified,0,0.013,-7.49729,18.49,-0.021,0.67406,4.06,340.97
EL04A.S.2014,EL04A.S,2014,1,38.67818166,-120.0440952,LPN,2519,70.73,28,-0.7121,0.393,20,40,6.3,20,30,110,NA,Undisturbed,Unmodified,0,0.023,-2.42413,18.25,-0.011,5.74722,3.82,383.15
EL04A.S.2015,EL04A.S,2015,2,38.67818166,-120.0440952,LPN,2519,70.73,28,-0.7121,0.393,20,40,6.3,20,30,110,NA,Undisturbed,Unmodified,0,0.028,-2.59775,19.48,-0.006,5.5736,5.05,396.5
EL04A.S.2016,EL04A.S,2016,1,38.67818166,-120.0440952,LPN,2519,70.73,28,-0.7121,0.393,11,26,11.1,17,23.5,101,NA,Undisturbed,Unmodified,0,0.032,-6.02718,18.81,-0.002,2.14417,4.38,277.25
EL04A.S.2017,EL04A.S,2017,1,38.67818166,-120.0440952,SCN,2519,70.73,28,-0.7121,0.393,2,12,15.8,14,17,92,NA,Undisturbed,Unmodified,0,0.306,-7.40032,17.37994,0.272,0.77103,2.94994,548.17
EL04A.S.2019,EL04A.S,2019,2,38.67818166,-120.0440952,SCN,2519,70.73,28,-0.7121,0.393,2,12,15.8,14,17,92,NA,Undisturbed,Unmodified,0,0.147,-4.82718,16.9726,0.113,3.34417,2.5426,596.4
EL04A.W.2010,EL04A.W,2010,1,38.68042968,-120.0469734,LPN,2542,38.33,17.53,0.9084,0.213,15,45,6.3,12,19,93,NA,Undisturbed,Unmodified,0,-0.03,-5.05065,15.04,-0.001,3.19701,0.75,256.4
EL04A.W.2011,EL04A.W,2011,2,38.68042968,-120.0469734,LPN,2542,38.33,17.53,0.9084,0.213,15,45,6.3,12,19,93,NA,Undisturbed,Unmodified,0,0.866,-5.65341,13.96,0.895,2.59425,-0.33,46.1
EL04A.W.2012,EL04A.W,2012,2,38.68042968,-120.0469734,LPN,2542,38.33,17.53,0.9084,0.213,15,45,6.3,12,19,93,NA,Undisturbed,Unmodified,0,-0.059,-4.09324,16.91,-0.03,4.15442,2.62,393.89
EL04A.W.2013,EL04A.W,2013,2,38.68042968,-120.0469734,LPN,2542,38.33,17.53,0.9084,0.213,15,45,6.3,12,19,93,NA,Undisturbed,Unmodified,0,-0.034,-7.65298,18.26,-0.005,0.59468,3.97,315.47
EL04A.W.2014,EL04A.W,2014,1,38.68042968,-120.0469734,LPN,2542,38.33,17.53,0.9084,0.213,15,45,6.3,12,19,93,NA,Undisturbed,Unmodified,0,-0.022,-2.60517,18.02,0.007,5.64249,3.73,382.16
EL04A.W.2015,EL04A.W,2015,2,38.68042968,-120.0469734,LPN,2542,38.33,17.53,0.9084,0.213,15,45,6.3,12,19,93,NA,Undisturbed,Unmodified,0,-0.035,-2.77972,19.27,-0.006,5.46794,4.98,396.92
EL04A.W.2016,EL04A.W,2016,1,38.68042968,-120.0469734,LPN,2542,38.33,17.53,0.9084,0.213,9,27.5,8.9,12.5,17.5,115,NA,Undisturbed,Unmodified,0,-0.025,-6.22355,18.6,0.004,2.02411,4.31,278.06
EL04A.W.2017,EL04A.W,2017,1,38.68042968,-120.0469734,LPN,2542,38.33,17.53,0.9084,0.213,3,10,11.4,13,16,137,NA,Undisturbed,Unmodified,0,0.37,-7.55487,17.17838,0.399,0.69279,2.88838,556.41
EL04A.W.2019,EL04A.W,2019,2,38.68042968,-120.0469734,LPN,2542,38.33,17.53,0.9084,0.213,3,10,11.4,13,16,137,NA,Undisturbed,Unmodified,0,0.579,-5.02951,16.67717,0.608,3.21815,2.38717,602.66
EL04B.C.2010,EL04B.C,2010,1,38.67143438,-120.0440912,RFR,2522,86.29,7.3,0.901,0.4794,60,29,6,5,7,105,NA,Undisturbed,Unmodified,0,0.402,-5.06375,15.29,0.127,3.16577,0.95,231
EL04B.C.2011,EL04B.C,2011,2,38.67143438,-120.0440912,RFR,2522,86.29,7.3,0.901,0.4794,60,29,6,5,7,105,NA,Undisturbed,Unmodified,0,0.811,-5.58704,14.16,0.536,2.64248,-0.18,55.9
EL04B.C.2012,EL04B.C,2012,2,38.67143438,-120.0440912,RFR,2522,86.29,7.3,0.901,0.4794,60,29,6,5,7,105,NA,Undisturbed,Unmodified,0,0.205,-3.99458,17.13,-0.07,4.23494,2.79,364.52
EL04B.C.2013,EL04B.C,2013,2,38.67143438,-120.0440912,RFR,2522,86.29,7.3,0.901,0.4794,60,29,6,5,7,105,NA,Undisturbed,Unmodified,0,0.303,-7.55203,18.49,0.028,0.67749,4.15,306.56
EL04B.C.2014,EL04B.C,2014,1,38.67143438,-120.0440912,RFR,2522,86.29,7.3,0.901,0.4794,60,29,6,5,7,105,NA,Undisturbed,Unmodified,0,0.276,-2.48126,18.24,0.001,5.74825,3.9,352.89
EL04B.C.2015,EL04B.C,2015,2,38.67143438,-120.0440912,RFR,2522,86.29,7.3,0.901,0.4794,60,29,6,5,7,105,NA,Undisturbed,Unmodified,0,0.251,-2.67551,19.46,-0.024,5.554,5.12,352.9
EL04B.C.2016,EL04B.C,2016,1,38.67143438,-120.0440912,RFR,2522,86.29,7.3,0.901,0.4794,33,18.5,9.5,2.5,3.5,114,NA,Undisturbed,Unmodified,0,0.318,-6.12304,18.79,0.043,2.10648,4.45,250.08
EL04B.C.2017,EL04B.C,2017,1,38.67143438,-120.0440912,WTM,2522,86.29,7.3,0.901,0.4794,6,8,13,0,0,123,NA,Undisturbed,Unmodified,0,0.62,-7.48451,17.2346,0.345,0.74501,2.8946,573.65
EL04B.C.2019,EL04B.C,2019,2,38.67143438,-120.0440912,WTM,2522,86.29,7.3,0.901,0.4794,6,8,13,0,0,123,NA,Undisturbed,Unmodified,0,0.754,-4.92474,16.80926,0.479,3.30478,2.46926,630.07
EL04B.S.2010,EL04B.S,2010,1,38.66918529,-120.0440899,SCN,2559,325.56,27.55,-0.1467,0.1913,10,23,2,5,17,88,NA,Undisturbed,Unmodified,0,0.519,-5.00725,14.7,0.541,3.24749,1,244.3
EL04B.S.2011,EL04B.S,2011,2,38.66918529,-120.0440899,SCN,2559,325.56,27.55,-0.1467,0.1913,10,23,2,5,17,88,NA,Undisturbed,Unmodified,0,0.853,-5.74648,13.72,0.875,2.50827,0.02,0
EL04B.S.2012,EL04B.S,2012,2,38.66918529,-120.0440899,SCN,2559,325.56,27.55,-0.1467,0.1913,10,23,2,5,17,88,NA,Undisturbed,Unmodified,0,-0.021,-4.14867,16.66,0.001,4.10607,2.96,354.17
EL04B.S.2013,EL04B.S,2013,2,38.66918529,-120.0440899,SCN,2559,325.56,27.55,-0.1467,0.1913,10,23,2,5,17,88,NA,Undisturbed,Unmodified,0,-0.009,-7.70082,18,0.013,0.55392,4.3,250.19
EL04B.S.2014,EL04B.S,2014,1,38.66918529,-120.0440899,SCN,2559,325.56,27.55,-0.1467,0.1913,10,23,2,5,17,88,NA,Undisturbed,Unmodified,0,0.004,-2.65897,17.75,0.026,5.59577,4.05,357.85
EL04B.S.2015,EL04B.S,2015,2,38.66918529,-120.0440899,SCN,2559,325.56,27.55,-0.1467,0.1913,10,23,2,5,17,88,NA,Undisturbed,Unmodified,0,0.006,-2.86585,18.89,0.028,5.38889,5.19,374.86
EL04B.S.2016,EL04B.S,2016,1,38.66918529,-120.0440899,SCN,2559,325.56,27.55,-0.1467,0.1913,6,17.5,10.7,4.5,10.5,99,NA,Undisturbed,Unmodified,0,0.006,-6.35071,18.23,0.028,1.90404,4.53,264.7
EL04B.S.2017,EL04B.S,2017,1,38.66918529,-120.0440899,RFR,2559,325.56,27.55,-0.1467,0.1913,2,12,19.4,4,4,110,NA,Undisturbed,Unmodified,0,0.824,-7.66897,17.00944,0.846,0.58577,3.30944,586.25
EL04B.S.2019,EL04B.S,2019,2,38.66918529,-120.0440899,RFR,2559,325.56,27.55,-0.1467,0.1913,2,12,19.4,4,4,110,NA,Undisturbed,Unmodified,0,0.824,-5.16195,16.47911,0.846,3.09279,2.77911,635.83
EL04B.W.2010,EL04B.W,2010,1,38.6714333,-120.0469677,SCN,2567,101.86,42.46,0.7891,0.5659,15,19,4,1,2,100,NA,Undisturbed,Unmodified,0,-0.016,-5.06879,14.95,-0.189,3.21242,0.8,250
EL04B.W.2011,EL04B.W,2011,2,38.6714333,-120.0469677,SCN,2567,101.86,42.46,0.7891,0.5659,15,19,4,1,2,100,NA,Undisturbed,Unmodified,0,0.917,-5.73733,13.91,0.744,2.54388,-0.24,9.6
EL04B.W.2012,EL04B.W,2012,2,38.6714333,-120.0469677,SCN,2567,101.86,42.46,0.7891,0.5659,15,19,4,1,2,100,NA,Undisturbed,Unmodified,0,0.037,-4.14884,16.86,-0.136,4.13237,2.71,385.19
EL04B.W.2013,EL04B.W,2013,2,38.6714333,-120.0469677,SCN,2567,101.86,42.46,0.7891,0.5659,15,19,4,1,2,100,NA,Undisturbed,Unmodified,0,0.26,-7.70439,18.21,0.087,0.57682,4.06,292.09
EL04B.W.2014,EL04B.W,2014,1,38.6714333,-120.0469677,SCN,2567,101.86,42.46,0.7891,0.5659,15,19,4,1,2,100,NA,Undisturbed,Unmodified,0,0.151,-2.66533,17.96,-0.022,5.61588,3.81,370.45
EL04B.W.2015,EL04B.W,2015,2,38.6714333,-120.0469677,SCN,2567,101.86,42.46,0.7891,0.5659,15,19,4,1,2,100,NA,Undisturbed,Unmodified,0,0.126,-2.84893,19.15,-0.047,5.43228,5,385.46
EL04B.W.2016,EL04B.W,2016,1,38.6714333,-120.0469677,SCN,2567,101.86,42.46,0.7891,0.5659,9,15.5,4.6,1,2,94.5,NA,Undisturbed,Unmodified,0,0.118,-6.33681,18.49,-0.055,1.9444,4.34,270.79
EL04B.W.2017,EL04B.W,2017,1,38.6714333,-120.0469677,SCN,2567,101.86,42.46,0.7891,0.5659,3,12,5.2,1,2,89,NA,Undisturbed,Unmodified,0,0.538,-7.64832,17.03724,0.365,0.63289,2.88724,614.9
EL04B.W.2019,EL04B.W,2019,2,38.6714333,-120.0469677,SCN,2567,101.86,42.46,0.7891,0.5659,3,12,5.2,1,2,89,NA,Undisturbed,Unmodified,0,0.893,-5.1453,16.50429,0.72,3.1359,2.35429,673.46
EL04B.X.2010,EL04B.X,2010,1,38.6731683,-120.0447453,LPN,2533,112.85,16.36,-0.2544,0.627,25,44,11.7,2,5,90,NA,Undisturbed,Unmodified,0,0.211,-5.08731,15.22,0.034,3.15462,0.87,253.7
EL04B.X.2011,EL04B.X,2011,2,38.6731683,-120.0447453,LPN,2533,112.85,16.36,-0.2544,0.627,25,44,11.7,2,5,90,NA,Undisturbed,Unmodified,0,0.757,-5.62694,14.11,0.58,2.61499,-0.24,73.5
EL04B.X.2012,EL04B.X,2012,2,38.6731683,-120.0447453,LPN,2533,112.85,16.36,-0.2544,0.627,25,44,11.7,2,5,90,NA,Undisturbed,Unmodified,0,0.177,-4.0369,17.08,0,4.20503,2.73,390.12
EL04B.X.2013,EL04B.X,2013,2,38.6731683,-120.0447453,LPN,2533,112.85,16.36,-0.2544,0.627,25,44,11.7,2,5,90,NA,Undisturbed,Unmodified,0,0.263,-7.59664,18.43,0.086,0.64528,4.08,328.48
EL04B.X.2014,EL04B.X,2014,1,38.6731683,-120.0447453,LPN,2533,112.85,16.36,-0.2544,0.627,25,44,11.7,2,5,90,NA,Undisturbed,Unmodified,0,0.235,-2.53512,18.18,0.058,5.70681,3.83,378.75
EL04B.X.2015,EL04B.X,2015,2,38.6731683,-120.0447453,LPN,2533,112.85,16.36,-0.2544,0.627,25,44,11.7,2,5,90,NA,Undisturbed,Unmodified,0,0.213,-2.73389,19.4,0.036,5.50803,5.05,392.65
EL04B.X.2016,EL04B.X,2016,1,38.6731683,-120.0447453,LPN,2533,112.85,16.36,-0.2544,0.627,14.5,41,16.6,2.5,6,84.5,NA,Undisturbed,Unmodified,0,0.197,-6.17103,18.73,0.02,2.0709,4.38,274.82
EL04B.X.2017,EL04B.X,2017,1,38.6731683,-120.0447453,RFR,2533,112.85,16.36,-0.2544,0.627,4,38,21.6,3,7,79,NA,Undisturbed,Unmodified,0,0.228,-7.51727,17.20478,0.051,0.72466,2.85478,547.43
EL04B.X.2019,EL04B.X,2019,2,38.6731683,-120.0447453,RFR,2533,112.85,16.36,-0.2544,0.627,4,38,21.6,3,7,79,NA,Undisturbed,Unmodified,0,0.634,-4.97955,16.74636,0.457,3.26238,2.39636,594.9
EL04B.Z.2010,EL04B.Z,2010,1,38.67279923,-120.0415425,RFR,2492,74.45,16.29,-0.6071,0.4136,10,31,8.3,10,15,110,NA,Undisturbed,Unmodified,0,0.108,-5.0416,15.38,0.028,3.1242,0.89,253.5
EL04B.Z.2011,EL04B.Z,2011,2,38.67279923,-120.0415425,RFR,2492,74.45,16.29,-0.6071,0.4136,10,31,8.3,10,15,110,NA,Undisturbed,Unmodified,0,0.867,-5.53286,14.29,0.787,2.63294,-0.2,86.7
EL04B.Z.2012,EL04B.Z,2012,2,38.67279923,-120.0415425,RFR,2492,74.45,16.29,-0.6071,0.4136,10,31,8.3,10,15,110,NA,Undisturbed,Unmodified,0,0.049,-3.94101,17.27,-0.031,4.22479,2.78,390.97
EL04B.Z.2013,EL04B.Z,2013,2,38.67279923,-120.0415425,RFR,2492,74.45,16.29,-0.6071,0.4136,10,31,8.3,10,15,110,NA,Undisturbed,Unmodified,0,0.054,-7.5038,18.63,-0.026,0.662,4.14,385.14
EL04B.Z.2014,EL04B.Z,2014,1,38.67279923,-120.0415425,RFR,2492,74.45,16.29,-0.6071,0.4136,10,31,8.3,10,15,110,NA,Undisturbed,Unmodified,0,0.038,-2.42979,18.38,-0.042,5.73601,3.89,381.15
EL04B.Z.2015,EL04B.Z,2015,2,38.67279923,-120.0415425,RFR,2492,74.45,16.29,-0.6071,0.4136,10,31,8.3,10,15,110,NA,Undisturbed,Unmodified,0,0.062,-2.61671,19.63,-0.018,5.54908,5.14,406.18
EL04B.Z.2016,EL04B.Z,2016,1,38.67279923,-120.0415425,RFR,2492,74.45,16.29,-0.6071,0.4136,9,24,14.9,11,13.5,115,NA,Undisturbed,Unmodified,0,0.06,-6.02985,18.95,-0.02,2.13595,4.46,275.81
EL04B.Z.2017,EL04B.Z,2017,0,38.67279923,-120.0415425,SCN,2492,74.45,16.29,-0.6071,0.4136,8,17,21.4,12,12,120,NA,Undisturbed,Unmodified,0,0.181,-7.4235,17.3168,0.101,0.7423,2.8268,543.04
EL04B.Z.2019,EL04B.Z,2019,2,38.67279923,-120.0415425,SCN,2492,74.45,16.29,-0.6071,0.4136,8,17,21.4,12,12,120,NA,Undisturbed,Unmodified,0,0.584,-4.82863,16.94505,0.504,3.33717,2.45505,591.74
