Sampling_site,Dist_road,Dist_water,NDVImean_500m,pa_type,CTcode2,trail
OCCAJ01,0.137312397,-0.71437645,-0.11855935,1,A,1
OCCAJ02,0.481328088,-0.500524722,0.066279665,1,A,1
OCCAJ03,0.455774027,-0.821989424,-0.302837063,1,A,1
OCCAJ04,0.2982311,-0.138580022,-0.335091453,1,A,1
OCCAJ05,0.106206475,-0.664207298,-0.311249179,1,C,1
OCCAJ06,-0.050626778,-0.237303844,-0.276270958,1,A,1
OCCAJ07,-0.032328023,-0.866203038,-0.143004624,1,A,1
OCCAJ08,0.158614761,-0.306312698,-0.65090885,1,A,1
OCCAJ09,0.327824221,-0.931669131,-0.230862173,1,A,1
OCCAJ10,0.045343871,-0.777329239,-0.967068819,1,A,1
OCCAJ11,0.214458601,-1.058265634,-0.622180304,1,A,1
OCCAJ12,0.402207105,-0.547851627,-0.251688297,1,C,1
OCCAJ13,0.403853465,-0.541490499,-0.066084202,1,C,1
OCCAJ16,0.076784143,-0.961770696,-0.603997728,1,A,1
OCCAJ17,0.348520808,-0.288934612,-0.345158213,1,A,1
OCCAJ18,0.513375768,-0.676568915,-0.388411442,1,A,1
OCCAJ19,0.724018126,-0.926180684,0.220289283,1,A,1
OCCAJ21,-0.369786611,-0.60630805,-0.30156469,1,A,1
OCCAJ22,-0.131103913,-0.959003264,-0.583854802,1,A,1
OCCAJ23,-0.190165767,-0.757366698,-0.296831071,1,A,1
OCCAJ24,-8.65E-05,-0.246426541,-0.817082288,1,A,1
OCCAJ25,0.190823055,-0.60471818,-0.502554218,1,A,1
OCCAJ26,0.028156413,-0.979831219,-0.872542531,1,A,1
OCCAJ27,0.538881794,-1.072166064,-0.56929289,1,A,1
OCCAJ28,0.377013947,-0.700496236,-0.63526224,1,A,1
OCCAJ29,0.56253263,-0.285505142,-0.12203042,1,A,0
OCCAJ30,-0.48985067,-0.241052546,-0.427054528,1,A,0
OCCAJ31,-0.308370992,-0.466951057,-0.496270009,1,A,1
OCCAJ32,-0.451789795,0.279143448,-0.474613113,1,A,1
OCCAJ33,-0.473473488,0.461617599,-0.416422362,1,C,0
OCCAJ35,-0.352930979,-0.67451006,-1.004386567,1,A,0
OCCAJ36,-0.563376193,-0.847840933,-1.268601808,1,C,0
OCCAJ37,0.036741258,-0.740808587,-0.409596639,1,C,0
OCCAJ38,-0.300734198,-0.949452929,-0.472490578,1,A,0
OCCAJ39,-0.132762707,-0.670752685,-1.131407816,1,A,0
OCCAJ41,-0.265278794,0.141691587,-0.126232227,1,A,0
OCCAJ42,-0.126390093,-0.329822276,-0.618096652,1,A,0
OCCAJ43,0.227235499,-0.586487444,-0.384731553,1,A,1
OCCL01,0.715251787,-0.696320446,-0.95974161,0,A,1
OCCL02,0.865740784,-0.616714821,-0.886006824,0,A,0
OCCL03,1.032783337,-0.285916534,-0.68945343,0,A,1
OCCL04,0.69096993,0.127700463,-0.858100652,0,A,0
OCCL05,0.871671651,0.2052931,-0.977292006,0,A,1
OCCL06,0.52834389,0.598407788,-1.002515749,0,A,1
OCCL07,0.351731979,0.268995324,-0.849394634,0,D,1
OCCL08,0.191527669,0.334547713,-0.864910343,0,A,1
OCCL09,0.376855858,0.188282738,-0.694967673,0,A,1
OCCL10,0.52483168,0.08211544,-0.920271992,0,A,0
OCCL11,1.823616488,0.008466757,-0.444937864,0,D,0
OCCL12,1.952294803,0.373355391,-0.43884166,0,C,0
OCCL13,1.765702706,0.695685263,-0.527950629,0,A,1
OCCL14,1.092734577,0.046417328,-0.644721913,0,A,1
OCCL15,0.612404605,-0.316825982,-0.772445225,0,A,1
OCCL16,0.680132595,-0.057395825,-1.910164358,0,A,1
OCCL17,0.455334089,-0.072488901,-1.676121609,0,C,1
OCCL18,0.233825057,-0.63977624,-0.594171818,0,A,1
OCCL19,0.153262695,-0.302464446,-1.054520815,0,D,1
OCCL20,-0.28740019,-0.352891085,-0.602672737,0,A,1
OCCL21,1.729113464,0.387865886,-1.020997459,0,A,1
OCCL22,1.820977844,-0.354191649,-0.438452956,0,A,1
OCCL23,1.595972344,-0.610079411,-0.404769505,0,A,1
OCCL24,1.568495735,0.679743874,-0.214298438,0,D,0
OCCL25,1.238746432,-0.10867603,-0.24771781,0,A,0
