## Session	ID	Occasion	Detector	sex
1	19	1	2520	F
1	19	1	2520	F
1	19	1	2522	F
1	269	1	2514	M
1	272	1	2522	M
1	273	1	2520	F
1	276	1	2353	F
1	283	1	2353	M
1	406	1	2520	F
1	406	1	2522	F
1	529	1	2520	NA
1	529	1	2522	NA
1	530	1	2520	F
1	530	1	2522	F
1	18	1	2346	F
1	285	1	2346	F
1	490	1	2346	F
1	490	1	2346	F
1	227	1	2261	NA
1	227	1	2261	NA
1	387	1	2234	F
1	531	1	2234	F
1	531	1	2257	F
1	531	1	2261	F
1	531	1	2261	F
1	531	1	2261	F
1	531	1	2261	F
1	531	1	2261	F
1	532	1	2316	M
1	533	1	2121	F
1	46	1	2265	M
1	68	1	2265	M
1	68	1	2265	M
1	220	1	2043	M
1	226	1	713	F
1	226	1	2042	F
1	235	1	2265	M
1	264	1	2265	M
1	271	1	2267	M
1	271	1	2267	M
1	290	1	2265	F
1	387	1	2265	F
1	387	1	2267	F
1	515	1	2265	F
1	515	1	2265	F
1	515	1	2265	F
1	531	1	2265	F
1	531	1	2267	F
1	531	1	2271	F
1	534	1	713	F
1	534	1	2043	F
1	535	1	713	NA
1	536	1	2265	F
1	536	1	2265	F
1	536	1	2267	F
1	537	1	2265	F
1	537	1	2265	F
1	538	1	2267	F
1	539	1	2267	F
1	223	1	2052	F
1	226	1	2039	F
1	226	1	2039	F
1	534	1	2039	F
1	64	1	2311	M
1	227	1	2301	NA
1	227	1	2301	NA
1	227	1	2301	NA
1	227	1	2301	NA
1	279	1	2301	M
1	387	1	2301	F
1	387	1	2301	F
1	531	1	2301	F
1	531	1	2301	F
1	531	1	2304	F
1	532	1	2323	M
1	533	1	2311	F
1	533	1	2311	F
1	533	1	2311	F
1	533	1	2311	F
1	540	1	2316	F
1	540	1	2323	F
1	540	1	2323	F
1	540	1	2323	F
1	540	1	2484	F
1	540	1	2484	F
1	540	1	2484	F
1	541	1	2484	F
1	542	1	2323	NA
1	543	1	2323	M
1	544	1	2311	M
1	544	1	2311	M
1	544	1	2311	M
1	544	1	2311	M
1	544	1	2311	M
1	544	1	2311	M
1	545	1	2311	F
1	227	1	2302	NA
1	228	1	2099	M
1	228	1	2099	M
1	228	1	2099	M
1	228	1	2102	M
1	228	1	2102	M
1	228	1	2102	M
1	228	1	2102	M
1	228	1	2102	M
1	228	1	2300	M
1	228	1	2302	M
1	228	1	2302	M
1	228	1	2302	M
1	533	1	2099	F
1	533	1	2099	F
1	533	1	2300	F
1	533	1	2300	F
1	544	1	2110	M
1	544	1	2300	M
1	545	1	2102	F
1	546	1	2102	M
1	547	1	2102	F
1	548	1	2102	M
1	549	1	2102	M
1	223	1	2248	F
1	227	1	2248	NA
1	227	1	2248	NA
1	227	1	2248	NA
1	227	1	2251	NA
1	227	1	2251	NA
1	227	1	2252	NA
1	227	1	2252	NA
1	227	1	2260	NA
1	227	1	2260	NA
1	227	1	2260	NA
1	227	1	2260	NA
1	227	1	2260	NA
1	227	1	2297	NA
1	228	1	2297	M
1	228	1	2297	M
1	387	1	2248	F
1	387	1	2248	F
1	387	1	2263	F
1	387	1	2263	F
1	387	1	2263	F
1	387	1	2263	F
1	531	1	2260	F
1	534	1	1045	F
1	534	1	1053	F
1	534	1	1053	F
1	547	1	2297	F
1	550	1	2062	NA
1	19	2	2311	F
1	533	2	2102	F
1	546	2	2347	M
1	598	2	2347	M
1	18	2	2271	F
1	18	2	2271	F
1	138	2	2265	M
1	231	2	2271	M
1	231	2	2271	M
1	262	2	2271	F
1	262	2	2292	F
1	267	2	2271	F
1	267	2	2271	F
1	270	2	2265	F
1	270	2	2271	F
1	270	2	2271	F
1	490	2	2271	F
1	534	2	2265	F
1	546	2	2267	M
1	599	2	2271	F
1	600	2	2265	F
1	19	2	2096	F
1	220	2	2036	M
1	279	2	2115	M
1	387	2	1046	F
1	533	2	2096	F
1	227	2	2039	NA
1	227	2	2058	NA
1	387	2	2037	F
1	534	2	2036	F
1	601	2	2039	F
1	602	2	2058	M
1	603	2	2101	M
1	220	2	2267	M
1	223	2	2260	F
1	226	2	2260	F
1	227	2	2267	NA
1	267	2	2281	F
1	387	2	2263	F
1	387	2	2267	F
1	533	2	2260	F
1	548	2	2260	M
1	604	2	2252	M
1	604	2	2260	M
1	226	2	2248	F
1	387	2	2242	F
1	387	2	2242	F
1	387	2	2248	F
1	387	2	2248	F
1	531	2	2242	F
1	531	2	2242	F
1	531	2	2251	F
1	532	2	2164	M
1	540	2	2111	F
1	540	2	2164	F
1	545	2	2164	F
1	547	2	2248	F
1	598	2	2248	M
1	605	2	2248	NA
1	605	2	2248	NA
1	606	2	2164	M
1	606	2	2249	M
1	607	2	2164	NA
1	529	2	2324	NA
1	529	2	2324	NA
1	532	2	2315	M
1	533	2	2305	F
1	533	2	2324	F
1	533	2	2324	F
1	533	2	2324	F
1	544	2	2298	M
1	608	2	2323	M
1	178	2	2103	M
1	545	2	2311	F
1	609	2	2311	NA
