ch	BirdAge	Weight	Wing_Len	condix	Sex	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	Temp8	Temp9
1100000000000000	1	1.16	27.7	4.19	M	22.93154171	76.26256114	74.09043915	78.27421776	89.54522556	45.43500242	34.98080112	85.44712174
1011000000000000	0	1.16	26.4	4.39	F	19.14592751	96.11882733	57.64871396	98.98544792	71.57995426	28.24356367	14.34684743	47.11271951
1011000000000000	1	1.08	26.7	4.04	M	93.4834162	29.59250691	59.03908866	91.50857562	13.70745443	29.38146638	8.27811698	19.24960429
1010000000000000	0	1.12	26.2	4.27	F	84.40927824	70.56662885	0.925997877	84.68301212	80.6566895	25.59776721	47.84631173	69.59106422
1010000000000000	1	1.14	27.7	4.11	M	81.78232946	66.60736222	52.79494924	53.99376426	13.98618051	59.13121505	3.714097384	17.17874762
1010110000000000	1	1.2	28.3	4.24	F	22.20855977	21.19107659	53.25483561	35.16405718	82.59794307	51.96321225	98.08140437	29.36272374
1010000000000000	1	1.1	26.4	4.17	M	90.90751491	82.43918158	5.785047146	11.09918193	49.73687031	30.17009629	97.43159579	69.85478469
1010110000000000	1	1.42	27	5.26	F	99.88913627	72.57446919	49.97403997	59.54306794	56.46159577	83.53071972	34.20140396	39.74844757
1010000000000000	1	1.12	27.2	4.12	M	49.43087709	14.04734096	1.674603135	88.42362901	21.27919723	28.60723671	57.95260426	34.64751903
1010101100000000	1	1.11	27.1	4.1	F	83.72984603	40.64988212	39.72758024	28.71737392	99.02367971	18.4726222	15.71974682	40.99053852
1010101100000000	0	1.07	26.8	3.99	M	55.97251202	61.79053828	75.32135262	97.04209708	72.31084867	71.39441541	17.20745135	84.21497026
1010101100000000	0	0.94	25.2	3.73	F	37.46630577	72.57311065	43.27098108	83.27734256	17.17232671	57.49010339	87.81431341	49.02665459
1010101100000000	0	1.24	27.1	4.58	M	53.02715169	66.28987002	11.66569791	31.83527172	57.51516605	12.40246589	35.33759965	32.48776586
1010101100000000	0	1.12	26.5	4.23	F	3.558078757	1.484432654	45.73650984	71.87579582	49.91805262	85.22057268	88.0795287	82.23983154
1010101000000000	1	1.34	27.5	4.87	M	30.07382606	78.0527896	40.53594572	68.02031104	35.40654259	67.28276203	34.12377464	32.66994401
1010101011000000	0	1.01	27.2	3.71	F	30.58623574	42.9923618	66.00825223	6.418914977	72.3944867	40.53028501	47.06860806	92.55716179
1010101011000000	0	1.04	27	3.85	M	49.53593793	98.23592168	36.98998515	51.59672466	95.05689989	48.25414824	98.72644963	93.15978854
1010101000000000	1	1.25	27.6	4.53	F	83.36067917	71.6837123	57.74993647	39.60358491	68.24538168	63.46562069	79.21840816	28.29995956
