ch	Sex	Mass	P_forest	Elevation	Group	Rain2	Rain3	Rain4	Rain5	Rain6	Rain7	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7
101010101010	F	21	0.97	163	A	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010101010	F	18	0.89	771	A	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010101010	F	45	0.83	60	A	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010101010	F	14	0.79	538	A	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010101010	F	32	0.98	378	A	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101000000000	M	35	0.54	284	A	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010100000	F	36	0.87	550	A	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010100000	F	13	0.84	749	A	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
110000000000	M	11	0.43	420	A	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
100000000000	M	35	0.31	658	A	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101011000000	M	10	0.14	696	A	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101000001010	M	48	0.05	442	B	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010110000	M	26	0.24	611	B	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010101010	F	49	0.71	663	B	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010101010	F	24	0.74	525	B	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010101010	F	15	0.86	87	B	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101100000000	M	40	0.33	179	B	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101000000010	F	50	0.96	16	B	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010101100	F	40	0.22	29	B	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010101010	F	48	0.68	537	B	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101000000000	F	22	0.81	386	B	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010000000	F	24	0.86	727	B	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
110000000000	F	27	0.15	688	B	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010100000	M	47	0.97	229	B	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010000000	M	18	0.41	699	C	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010101000	M	16	0.39	502	C	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010101100	F	14	0.19	741	C	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010101010	F	23	0.86	461	C	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101100000000	M	39	0.27	763	C	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101000000000	M	15	0.99	65	C	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101011000000	F	11	0.51	221	C	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010101010	M	10	0.91	243	C	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101000000000	M	19	0.82	600	C	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
000010101010	F	49	0.78	427	C	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
000010101010	F	41	0.84	724	C	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
000011000000	F	18	0.13	79	C	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
000010101011	F	39	0.11	330	C	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
000010101100	F	42	0.38	303	D	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010000000	M	45	1	637	D	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
000010100000	M	30	0.89	36	D	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
000000101010	F	14	0.93	532	D	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
101010100000	M	13	0.29	670	D	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
000010101010	F	47	0.84	145	D	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
000010101010	F	35	0.89	736	D	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
000011000000	M	40	0.06	53	D	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
000010110000	M	38	0.18	247	D	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
000010101011	F	45	0.14	117	D	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
000000101010	F	24	0.96	483	D	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
000000101010	M	19	0.94	66	D	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
000000100000	M	32	0.28	393	D	0.03	0.55	0	0.18	0.09	0.46	43	56	61	68	76	59
