PlotID,y1,y2,y3,species,date.1,date.2,date.3,time.1,time.2,time.3,Longitude,Latitude,Elev,Aspect,Slope,Forest
1,0,0,0,BAWW,150,162,178,5.5,8.27,5.5,-71.74104,43.93584,474,186.340195,7.3616848,Hardwoods
3,0,0,0,BAWW,150,162,178,6.02,7.82,5.98,-71.74116,43.93854,546,174.805603,7.70660877,Hardwoods
5,0,0,0,BAWW,150,162,178,6.47,7.38,6.43,-71.74128,43.94124,588,66.801407,3.84203601,Hardwoods
7,0,0,0,BAWW,150,162,178,6.82,7,6.85,-71.74141,43.94394,574,80.537682,9.23241997,Hardwoods
9,0,0,0,BAWW,150,162,178,7.17,6.6,7.23,-71.74153,43.94664,585,187.125,6.57446194,Mixture - Predominantly Hardwoods
11,0,0,0,BAWW,150,162,178,7.5,6.22,7.62,-71.74166,43.94933,629,168.690094,6.08336306,Hardwoods
13,0,0,0,BAWW,150,162,178,7.88,5.9,8,-71.74178,43.95203,678,158.198593,15.59644032,Hardwoods
15,0,0,0,BAWW,150,162,178,8.28,5.5,8.35,-71.7419,43.95473,744,168.690094,11.57796001,Hardwoods
17,0,0,0,BAWW,151,163,180,8.3,6.72,6.37,-71.74805,43.95278,710,177.273697,13.28503036,Hardwoods
19,1,0,0,BAWW,151,163,180,7.75,7.15,6.8,-71.74792,43.95008,664,161.565002,8.17242432,Hardwoods
21,2,0,0,BAWW,151,163,180,7.37,7.7,7.23,-71.7478,43.94739,656,90,7.90700913,Hardwoods
23,0,0,0,BAWW,151,163,180,6.92,8.08,7.62,-71.74767,43.94469,630,176.185898,5.26452303,Hardwoods
25,0,0,0,BAWW,151,163,180,6.43,8.45,8,-71.74755,43.94199,628,63.434952,0.30094221,Hardwoods
27,0,0,0,BAWW,151,163,180,5.75,8.95,8.4,-71.74742,43.93929,562,199.653793,17.67123032,Hardwoods
30,0,0,0,BAWW,151,163,180,5.6,8.13,8.05,-71.74726,43.93569,465,188.130096,10.48801994,Hardwoods
32,0,0,0,BAWW,151,163,180,6.13,7.67,7.6,-71.74713,43.933,488,6.842773,14.22515011,Hardwoods
34,0,0,0,BAWW,151,163,180,6.73,7.23,7.23,-71.74701,43.9303,587,7.594644,16.35091972,Hardwoods
35,0,0,0,BAWW,151,163,180,7.08,6.9,6.92,-71.74693,43.9285,634,22.380131,13.31962013,Hardwoods
38,0,0,0,BAWW,151,163,180,7.82,6.4,6.5,-71.74676,43.9249,707,341.565094,16.61842918,Mixture - Predominantly Hardwoods
40,0,0,0,BAWW,151,163,180,8.43,6.03,6.17,-71.74664,43.9222,767,344.054596,13.71049976,Mixture - Predominantly Hardwoods
42,0,0,0,BAWW,151,163,180,9.07,5.5,5.73,-71.74651,43.91951,836,288.434906,2.97373605,Mixture - Predominantly Softwoods
44,0,0,0,BAWW,162,180,184,6.4,5.92,7.77,-71.74029,43.91966,752,99.162354,10.39867973,Hardwoods
46,0,0,0,BAWW,162,180,184,6.85,6.32,7.37,-71.74042,43.92235,760,71.565048,13.41232014,Mixture - Predominantly Hardwoods
48,0,0,0,BAWW,162,180,184,7.27,6.68,6.93,-71.74054,43.92505,687,23.838739,17.05125999,Hardwoods
50,1,1,0,BAWW,162,180,184,7.68,7.05,6.35,-71.74066,43.92775,621,39.805569,27.41955948,Hardwoods
